Nome;Partido;Estado;Codigo;CD01O091O008804;CD01O091O008805;CD01O091O008806;CD01O091O008807;CD01O091O008808;CD01O092E008810;CD01O092E008811;CD01O092E008812;CD01O092E008813;CD01O094O008814;CD01O094O008815;CD01O094O008817;CD01O094O008818;CD01O100O008819;CD01O109O008822;CD01O109O008823;CD01O109O008824;CD01O109O008826;CD01O110E008832;CD01O111E008835;CD01O114E008846;CD01O122O008858;CD01O122O008859;CD01O123E008860;CD01O123E008861;CD01O123E008863;CD01O123E008864;CD01O123E008865;CD01O124E008866;CD01O124E008867;CD01O124E008868;CD01O124E008869;CD01O124E008870;CD01O124E008871;CD01O124E008872;CD01O124E008873;CD01O127E008874;CD01O127E008875;CD01O127E008876;CD01O127E008877;CD01O127E008878;CD01O127E008879;CD01O127E008880;CD01O127E008881;CD01O127E008883;CD01O127E008891;CD01O128E008893;CD01O128E008894;CD01O128E008895;Lado;tsne-1d-one;tsne-2d-two
ALINE GURGEL;PRB;Amapá;11;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-0.84090084;14.747718
CAMILO CAPIBERIBE;PSB;Amapá;12;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Não;Não;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Não;Sim;Sim;Sim;OPOSIÇÃO;-19.676306;18.392122
LEDA SADALA;Avate;Amapá;14;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Sim;Não;Não Votou;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;MINORIA;-5.8785477;-10.393059
PROFESSORA MARCIVANIA;PCdoB;Amapá;15;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Não;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Não;Sim;Sim;Sim;OPOSIÇÃO;-21.336876;17.228098
VINICIUS GURGEL;PR;Amapá;16;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Não;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Não;Não;Não Votou;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-3.3461764;8.114812
LUIZ CARLOS;PSDB;Amapá;17;Não;Não Votou;Sim;Não Votou;Não;Não;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não Votou;Não;Não;Não Votou;Não;Não Votou;Sim;Não;Não;Não;Sim;Não Votou;Não;Sim;Não;Não Votou;Não;Não Votou;Não;Não Votou;Não Votou;Sim;Não;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não;Sim;Não;Não;Sim;GOVERNO;1.2160938;-9.2526865
AIRTON FALEIRO;PT;Pará;18;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Abstenção;Abstenção;Abstenção;Abstenção;Sim;Abstenção;Não;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Não Votou;Não Votou;Obstrução;Obstrução;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Sim;OPOSIÇÃO;-19.20323;15.875744
BETO FARO;PT;Pará;19;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Não;Obstrução;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;OPOSIÇÃO;-18.457216;14.522915
CÁSSIO ANDRADE;PSB;Pará;20;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Não;Abstenção;Sim;Não Votou;Sim;Não;Sim;Abstenção;Sim;Não;Não;Obstrução;Obstrução;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Não;Não Votou;Obstrução;Não;Não;Sim;Sim;Sim;OPOSIÇÃO;-9.293242;29.434566
ELCIONE BARBALHO;MDB;Pará;21;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-0.730534;13.140811
DELEGADO ÉDER MAURO;PSD;Pará;22;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não;Não Votou;Não;Não Votou;Não;Não Votou;Sim;Não;Não;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;19.917286;-7.904955
CELSO SABINO;PSDB;Pará;23;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;GOVERNO;11.773046;4.901003
CRISTIANO VALE;PR;Pará;25;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não Votou;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Não;GOVERNO;9.076519;-11.736207
JOSÉ PRIANTE;MDB;Pará;26;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Não;Não;Sim;Não Votou;Não;Sim;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;GOVERNO;-4.764635;-9.929606
EDMILSON RODRIGUES;PSOL;Pará;27;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Sim;Obstrução;Não Votou;Obstrução;Não Votou;Obstrução;Não Votou;Não;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Não;Sim;Sim;Sim;OPOSIÇÃO;-20.088337;15.133026
EDUARDO COSTA;PTB;Pará;28;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não Votou;Não Votou;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Sim;Não;Sim;Não;Não Votou;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;3.277909;7.5060296
JÚNIOR FERRARI;PSD;Pará;29;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;GOVERNO;15.32152;-16.181873
OLIVAL MARQUES;DEM;Pará;30;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não;Não;Não;Não;Não;Não Votou;Não;Não Votou;Não;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não;Não Votou;Não;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;GOVERNO;10.21608;-8.223421
NILSON PINTO;PSDB;Pará;31;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Sim;Não;Não;Não;Não;Sim;Não Votou;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;GOVERNO;-1.5521518;-10.573257
HÉLIO LEITE;DEM;Pará;32;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não Votou;Não Votou;Não;Não;Não;Não;Não Votou;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;GOVERNO;9.813576;-14.423543
JOAQUIM PASSARINHO;PSD;Pará;33;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Não;Não;Não;GOVERNO;20.290882;-15.548826
PAULO BENGTSON;PTB;Pará;34;Não Votou;Não Votou;Sim;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não Votou;Não Votou;Não;Não Votou;Não;Sim;Não Votou;Não;Sim;Não Votou;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não Votou;GOVERNO;11.087882;-12.331472
VAVÁ MARTINS;PRB;Pará;35;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não Votou;Não;Sim;Não;Não;Não;GOVERNO;3.9301083;7.136581
CAPITÃO ALBERTO NETO;PRB;Amazonas;36;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não Votou;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Sim;Não Votou;Não Votou;Sim;Não Votou;Não;Sim;Não;Não;Não;GOVERNO;18.745771;-19.55673
BOSCO SARAIVA;Solidariedade;Amazonas;37;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não Votou;Não;Não;Não;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Não Votou;Não Votou;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;8.162592;-8.397769
ÁTILA LINS;PP;Amazonas;38;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Não Votou;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Sim;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;GOVERNO;-2.7838764;-8.695055
SILAS CÂMARA;PRB;Amazonas;39;Não;Não Votou;Sim;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;14.585537;-4.310855
DELEGADO PABLO;PSL;Amazonas;40;Não;Não;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Não;Não Votou;Não;Não;Não Votou;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;Sim;Não Votou;Não;Sim;Não;Não;Não;GOVERNO;18.01854;-17.315535
JOSÉ RICARDO;PT;Amazonas;41;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Sim;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Sim;Obstrução;Não;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Não;Sim;Sim;Sim;OPOSIÇÃO;-18.46655;18.281015
MARCELO RAMOS;PR;Amazonas;42;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não;Não;Não;Não;Não;Não Votou;Não;Não;Não;Não Votou;Sim;Não Votou;Não;Sim;Não Votou;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;GOVERNO;6.033104;6.5406623
SIDNEY LEITE;PSD;Amazonas;43;Não Votou;Não;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não Votou;Não;Não Votou;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;4.3174434;10.626925
EXPEDITO NETTO;PSD;Rondonia;44;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não Votou;Não Votou;Não;Não;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Não Votou;Não;Sim;Sim;Sim;GOVERNO;18.175121;-2.114075
CORONEL CHRISÓSTOMO;PSL;Rondonia;45;Não;Não;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não Votou;Não Votou;Não;Sim;Não;Não;Sim;Não;Não Votou;Não;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;GOVERNO;17.24276;-12.641764
LUCIO MOSQUINI;MDB;Rondonia;46;Não Votou;Não Votou;Sim;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Não;Sim;GOVERNO;4.6542177;-3.0266166
JAQUELINE CASSOL;PP;Rondonia;47;Não;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não Votou;Não;Não;Não;Não;Não Votou;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Não;Não;Sim;GOVERNO;10.468806;-5.6579075
LÉO MORAES;Podemos;Rondonia;48;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Obstrução;Não;Sim;Não;Sim;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Não;Sim;Sim;MINORIA;10.154782;0.7413608
MAURO NAZIF;PSB;Rondonia;49;Não Votou;Sim;Obstrução;Obstrução;Não Votou;Obstrução;Sim;Obstrução;Obstrução;Não;Não Votou;Obstrução;Sim;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Não Votou;Sim;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Sim;Obstrução;Sim;Obstrução;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Não Votou;Obstrução;Obstrução;Não;Sim;Sim;Sim;OPOSIÇÃO;-18.378412;20.729013
SILVIA CRISTINA;PDT;Rondonia;50;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Não;Obstrução;Obstrução;Sim;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Não;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Não;Sim;Sim;Sim;Sim;MINORIA;-19.30133;19.609346
MARIANA CARVALHO;PSDB;Rondonia;51;Não;Não;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Sim;Não;Não Votou;Não;Não Votou;Não Votou;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Sim;GOVERNO;2.5736492;-1.9227757
