Nome;Partido;Estado;Codigo;CC01O010E008955;CD01O185E008959;CD01O185E008960;CD01O187E008961;CD01O187E008962;CD01O187E008963;CD01O187E008964;CD01O187E008965;CD01O188E008966;CD01O188E008967;CD01O188E008968;CD01O189E008969;CD01O189E008970;CD01O189E008971;CD01O189E008972;CD01O191E008973;CD01O191E008974;CD01O191E008975;CD01O192E008976;CD01O192E008977;CD01O192E008978;CD01O192E008979;CD01O194E008980;CD01O194E008981;CD01O194E008982;CD01O194E008983;CD01O195E008984;CD01O195E008985;CD01O195E008986;CD01O195E008988;CD01O196E008989;CD01O196E008990;CD01O196E008991;CD01O196E008992;CD01O196E008993;Lado;tsne-1d-one;tsne-2d-two
VAVÁ MARTINS;PRB;Pará;35;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Não;Não;Sim;Não;Não;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;19.683605;1.314391
CAPITÃO ALBERTO NETO;PRB;Amazonas;36;Não;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;18.7776;15.899086
BOSCO SARAIVA;Solidariedade;Amazonas;37;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;MINORIA;12.1305685;14.636492
ÁTILA LINS;PP;Amazonas;38;Não Votou;Sim;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não Votou;Sim;GOVERNO;5.932713;-4.196146
SILAS CÂMARA;PRB;Amazonas;39;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;19.631113;19.300682
DELEGADO PABLO;PSL;Amazonas;40;Sim;Sim;Não;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;17.060234;8.977398
JOSÉ RICARDO;PT;Amazonas;41;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Não Votou;Não;Não;Não;Não Votou;OPOSIÇÃO;-35.14725;-12.539297
MARCELO RAMOS;PL;Amazonas;42;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;6.115817;-3.1067505
SIDNEY LEITE;PSD;Amazonas;43;Não Votou;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Sim;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;-7.474783;7.150653
EXPEDITO NETTO;PSD;Rondonia;44;Não Votou;Não;Não;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;GOVERNO;-24.326715;-23.414742
CORONEL CHRISÓSTOMO;PSL;Rondonia;45;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;12.284383;12.095409
LUCIO MOSQUINI;MDB;Rondonia;46;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Sim;Não;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;-0.91276234;3.6102693
JAQUELINE CASSOL;PP;Rondonia;47;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;1.9716511;0.04076245
LÉO MORAES;Podemos;Rondonia;48;Sim;Sim;Não;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;MINORIA;-7.6050477;1.4628142
MAURO NAZIF;PSB;Rondonia;49;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;OPOSIÇÃO;-24.466986;-24.544436
SILVIA CRISTINA;PDT;Rondonia;50;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Obstrução;Sim;Sim;Não;Sim;Sim;Sim;Abstenção;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;MINORIA;-17.690928;-12.664786
MARIANA CARVALHO;PSDB;Rondonia;51;Não Votou;Sim;Não;Não Votou;Não Votou;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;7.997197;-0.5087411
JESUS SÉRGIO;PDT;Acre;52;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Não Votou;Não;Não;Não Votou;Não Votou;Não;Não;Sim;Sim;Sim;Abstenção;Não;Abstenção;Sim;Abstenção;Sim;Não;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;-15.760083;-12.790508
ALAN RICK;DEM;Acre;53;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;-11.940188;-3.721372
FLAVIANO MELO;MDB;Acre;54;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-9.189663;-11.888177
MANUEL MARCOS;PRB;Acre;55;Sim;Sim;Não;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;17.059738;8.977427
JÉSSICA SALES;MDB;Acre;56;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Não;Não;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Não Votou;Sim;Sim;Não;Não Votou;Sim;Sim;Não;Sim;GOVERNO;-9.383376;9.979963
MARA ROCHA;PSDB;Acre;57;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Sim;GOVERNO;-8.930677;9.655042
PERPÉTUA ALMEIDA;PCdoB;Acre;58;Obstrução;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Não Votou;Não;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Não;Sim;Obstrução;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Sim;Não;Não;Não;Sim;OPOSIÇÃO;-26.176653;-13.201467
DRA. VANDA MILANI;Solidariedade;Acre;59;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;MINORIA;12.507664;14.215158
CARLOS HENRIQUE GAGUIM;DEM;Tocantins;60;Não Votou;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;13.36132;15.504036
DULCE MIRANDA;MDB;Tocantins;61;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;3.1921668;0.33735266
CÉLIO MOURA;PT;Tocantins;62;Não;Não Votou;Obstrução;Sim;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Sim;Não;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Não;Sim;Não Votou;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-35.304665;-14.222356
ELI BORGES;Solidariedade;Tocantins;63;Sim;Sim;Não;Não;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Abstenção;Não;Sim;Sim;Não;Não Votou;Não;Não;Não;Não;Não;Sim;Sim;Sim;MINORIA;1.9341148;5.656465
OSIRES DAMASO;PSC;Tocantins;64;Sim;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Sim;Sim;Sim;GOVERNO;-3.0752087;2.0651028
TIAGO DIMAS;Solidariedade;Tocantins;65;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;MINORIA;-8.243322;2.0085478
VICENTINHO JÚNIOR;PL;Tocantins;66;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Não;Sim;Sim;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;2.5073175;1.3802443
PROFESSORA DORINHA SEABRA REZEN;DEM;Tocantins;67;Sim;Não Votou;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não Votou;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-5.333489;-1.9243865
ALUISIO MENDES;Podemos;Maranhão;68;Sim;Sim;Não;Não;Não Votou;Sim;Não Votou;Sim;Não;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Não Votou;MINORIA;7.066643;11.954134
CLEBER VERDE;PRB;Maranhão;70;Sim;Sim;Não;Não Votou;Não;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;9.459873;9.745456
BIRA DO PINDARÉ;PSB;Maranhão;71;Obstrução;Abstenção;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Obstrução;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-23.042551;-22.472584
ANDRÉ FUFUCA;PP;Maranhão;72;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Sim;Não Votou;Não;Não Votou;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;-3.4406717;-8.942066
EDILÁZIO JÚNIOR;PSD;Maranhão;73;Não Votou;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;10.244267;-2.0652692
HILDO ROCHA;MDB;Maranhão;74;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;4.771598;5.311709
EDUARDO BRAIDE;PMN;Maranhão;75;Sim;Sim;Sim;Não;Não;Sim;Não;Não Votou;Sim;Não;Sim;Não Votou;Não;Sim;Não;Não;Não;Sim;Não;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;GOVERNO;-22.828613;-10.505955
JOÃO MARCELO SOUZA;MDB;Maranhão;76;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Sim;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;4.463694;19.676353
